Filename,Segment_label,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1F1,Time
Bd_180,oh,343.75,54.78,156.25,44.23,54.78,16.68,38.10,1000.00,32.25,22.54,1.00
Bd_180,ee,343.75,37.42,125.00,37.17,43.51,4.34,33.08,937.50,6.76,30.66,1.00
Bd_180,aa,437.50,47.29,156.25,42.22,45.67,4.17,43.13,1000.00,30.78,16.51,1.00
Bd_180,i,578.13,46.79,140.63,43.51,49.54,4.90,41.90,1015.63,31.63,15.16,1.00
Bd_180,ee,750.00,43.57,125.00,43.78,47.31,32.08,11.49,968.75,31.77,11.80,1.00
Bd_181,ee,718.75,-7.92,125.00,3.11,0.78,16.90,-24.82,968.75,-4.31,-3.61,1.00
Bd_182,oh,468.75,48.45,156.25,48.35,48.41,9.49,38.96,937.50,32.82,15.63,1.00
Bd_182,aa,656.25,35.43,82.47,28.93,38.59,22.32,13.11,968.75,24.64,10.79,1.00
Bd_182,ee,281.25,32.04,93.75,34.26,34.12,34.26,-2.22,906.25,1.75,30.29,1.00
Bd_183,ee,875.00,24.54,125.00,33.38,29.19,33.38,-8.84,906.25,21.01,3.52,1.00
Bd_183,ee,234.38,27.60,93.75,36.84,41.13,15.25,12.35,984.38,6.88,20.72,1.00
Bd_184,ee,1296.88,15.67,125.00,29.09,17.65,30.85,-15.18,890.63,13.32,2.35,1.00
Bd_185,i,281.25,42.46,156.25,40.80,42.46,8.93,33.52,875.00,17.08,25.38,1.00
Bd_185,aa,406.25,42.93,125.00,48.43,52.00,30.21,12.72,1000.00,32.27,10.66,1.00
Bd_185,i,687.50,38.57,124.63,47.15,38.20,47.15,-8.58,906.25,37.44,1.13,1.00
Bd_185,oh,468.75,32.75,156.25,41.47,38.31,45.50,-12.74,1000.00,15.42,17.33,1.00
Bd_185,oh,468.75,49.63,156.25,46.73,49.08,22.91,26.72,1000.00,39.93,9.71,1.00
Bd_185,ee,500.00,33.77,125.00,40.27,41.05,32.95,0.82,937.50,14.14,19.63,1.00
Bd_186,i,437.50,43.84,187.50,50.75,48.46,50.75,-6.91,968.75,34.24,9.60,1.00
Bd_186,aa,375.00,41.52,125.00,40.39,43.39,35.94,5.58,937.50,14.74,26.78,1.00
Bd_186,i,296.88,53.20,156.25,49.99,53.20,7.99,45.20,921.88,30.96,22.23,1.00
Bd_186,aa,625.00,38.81,156.58,44.13,45.96,37.90,0.91,875.00,33.47,5.33,1.00
Bd_186,aa,375.00,43.68,184.47,43.65,46.83,33.50,10.18,1000.00,19.78,23.90,1.00
Bd_186,ee,296.88,27.92,109.38,35.77,34.81,35.77,-7.85,1000.00,0.76,27.16,1.00
Bd_187,ee,375.00,39.47,125.00,38.21,42.03,21.43,18.04,906.25,21.06,18.41,1.00
Bd_187,ee,312.50,47.22,125.00,36.22,46.27,38.51,8.71,1000.00,15.89,31.33,1.00
